name,GfPrTr,HfPrTr,SPrTr,VPrTr,k0,k1,k2,k3,k4,k5,k6,v1,v2,v3,v4,Tlambda,Tref,dTdP,l1,l2,DtH,Tmax,Tmin,d0,d1,d2,d3,d4,Vad
margarite,-5852244,-6236603,265.084,12.958,699.8,-5587.1,-6807700,734320000,0,0,0,2.1019,0.00124556,-0.1155,0.0002886,,,,,,,,,,,,,,
meionite,-13105915,-13849723,730,34.036,1511.35,-13243.3,0,-751610000,0,0,0,0.934,0,-0.111,0,,,,,,,,,,,,,,
merwinite,-4309707,-4537497,251.777,9.847,453.62,-3250,0,-344230000,0,0,0,2.9376,0.00087235,-0.0551,0.0001381,,,,,,,,,,,,,,
monticellite,-2132222,-2250027,108.3,5.148,226.34,-1542.7,-1179700,-23290000,0,0,0,2.7863,0.00076339,-0.0904,0.0002,,,,,,,,,,,,,,
muscovite,-5596723,-5976740,293.157,14.087,651.49,-3873.2,-18523200,2742470000,0,0,0,3.3527,0,-0.1717,0.0004295,,,,,,,,,,,,,,
paragonite,-5563572,-5944208,277.699,13.216,577.57,-1472.8,-32214400,5050080000,0,0,0,3.9424,0.00059701,-0.1973,0.0004933,,,,,,,,,,,,,,
periclase,-569209,-601500,26.951,1.125,61.11,-296.2,-621200,5840000,0,0,0,3.7477,3.556E-05,-0.0622,0.0001511,,,,,,,,,,,,,,
phlogopite,-5827224,-6207342,334.158,14.977,610.38,-2083.8,-21533000,2841040000,0,0,0,3.4447,0,-0.1697,0,,,,,,,,,,,,,,
K-feldspar,-3745415,-3970791,214.145,10.869,381.37,-1941,-12037300,1836430000,0,0,0,1.5145,0.0005485,-0.1805,0.0005112,,,,,,,1436,298,282.98,-4830,3621000,-0.15733,3.477E-05,410630
"K-feldspar,high",-3738804,-3959704,229.157,10.896,381.37,-1941,-12037300,1836430000,0,0,0,1.5145,0.0005485,-0.1805,0.0005112,,,,,,,,,,,,,,
"K-feldspar,low",-3745415,-3970791,214.145,10.869,381.37,-1941,-12037300,1836430000,0,0,0,1.5145,0.0005485,-0.1805,0.0005112,,,,,,,,,,,,,,
prehnite,-5820154,-6198606,288.634,14.016,716.05,-6404.6,-2182500,268500000,0,0,0,0.1468,0.01128353,-0.1427,0,,,,,,,,,,,,,,
pyrope,-5936009,-6286548,266.359,11.316,640.72,-4542.1,-4701900,0,0,0,0,2.2519,0.00037044,-0.0576,4.42E-05,,,,,,,,,,,,,,
pyrophyllite,-5266865,-5640781,239.4,12.76,665.93,-5897.4,-4979900,661810000,0,0,0,1.2637,0.00381661,-0.1354,0,,,,,,,,,,,,,,
quartz,-856288,-910700,41.46,2.269,80.01,-240.3,-3546700,491570000,0,0,0,2.3895,0,-0.2434,0.0010137,848,373,0.0237,-0.09187,0.00024607,0,,,,,,,,
"quartz,beta",-855033,-908627,44.207,2.37,80.01,-240.3,-3546700,491570000,0,0,0,0,0,-0.1238,0.0007087,,,,,,,,,,,,,,
rutile,-889497,-944750,50.46,1.882,77.84,0,-3367800,402940000,0,0,0,2.5716,0.00015409,-0.0454,5.84E-05,,,,,,,,,,,,,,
sillimanite,-2439265,-2586091,95.93,4.983,256.73,-1887.2,-2977400,250960000,0,0,0,1.3431,0,-0.0753,0,,,,,,,,,,,,,,
sphene,-2455134,-2596652,129.29,5.565,234.62,-1040.3,-5118300,591460000,0,0,0,2.52,0,-0.059,0,,,,,,,,,,,,,,
spinel,-2176537,-2300313,84.535,3.977,235.9,-1766.6,-1710400,40620000,0,0,0,2.1691,0.00050528,-0.0489,0,,,,,,,,,,,,,,
talc,-5517657,-5897387,261.24,13.61,664.11,-5187.2,-2147200,-327370000,0,0,0,2.9447,0,-0.1699,0.0005665,,,,,,,,,,,,,,
tremolite,-11578548,-12305578,551.15,27.268,1229.36,-6401.9,-32089900,4208810000,0,0,0,2.4374,0.00098338,-0.1392,0.0003481,,,,,,,,,,,,,,
"tridymite,low",-854026,-907750,43.77,2.675,75.37,0,-5958100,958250000,0,0,0,1.9339,0,-0.2508,0,383,298,0,0.4267,-0.00144575,130,,,,,,,,
"tridymite,high",-853844,-907045,45.524,2.737,75.37,0,-5958100,958250000,0,0,0,0.4829,0,-0.074,0.0003735,,,,,,,,,,,,,,
wollastonite,-1546123,-1631500,81.81,3.983,149.07,-690.3,-3659300,484350000,0,0,0,2.818,0,-0.1245,0.0003113,,,,,,,,,,,,,,
pseudowollastonite,-1543085,-1627427,85.279,4.016,141.16,-417.2,-5857600,940740000,0,0,0,2.818,0,-0.1245,0.0003113,,,,,,,,,,,,,,
zoisite,-6494148,-6889488,297.576,13.588,749.17,-6509.3,-2380500,124860000,0,0,0,3.467,0,-0.0515,0.0001288,,,,,,,,,,,,,,
clinozoisite,-6496497,-6894968,287.076,13.673,749.17,-6509.3,-2380500,124860000,0,0,0,3.467,0,-0.0515,0.0001288,,,,,,,,,,,,,,
