element,state,source,mass,s,n
N,cr,WEP+82,14.0067,45.7958891013384,2
P,cr,WEP+82,30.9738,9.82074569789675,1
As,cr,WEP+82,74.9216,8.38910133843212,1
Sb,cr,WEP+82,121.75,10.92017208413,1
Bi,cr,WEP+82,208.98,13.5611854684512,1
C,cr,WEP+82,12.0112,1.37189292543021,1
Si,cr,WEP+82,28.086,4.50047801147227,1
Ge,cr,WEP+82,72.59,7.43068833652008,1
Sn,cr,WEP+82,118.69,12.3207456978967,1
Pb,cr,WEP+82,207.19,15.4899617590822,1
B,cr,WEP+82,10.811,1.40057361376673,1
Al,cr,WEP+82,26.9815,6.77103250478011,1
Ga,cr,WEP+82,69.72,9.77055449330784,1
In,cr,WEP+82,114.82,13.8193116634799,1
Tl,cr,WEP+82,204.37,15.3393881453155,1
Zn,cr,WEP+82,65.37,9.94980879541109,1
Cd,cr,WEP+82,112.4,12.3709369024857,1
Hg,liq,WEP+82,200.59,18.1692160611855,1
Cu,cr,WEP+82,63.54,7.92304015296367,1
Ag,cr,WEP+82,107.87,10.1696940726577,1
Au,cr,WEP+82,196.967,11.3288718929254,1
Ni,cr,WEP+82,58.71,7.13910133843212,1
Co,cr,WEP+82,58.9332,7.17973231357553,1
Fe,cr,WEP+82,55.847,6.52007648183556,1
Pd,cr,WEP+82,106.4,8.97944550669216,1
Rh,cr,WEP+82,102.905,7.5310707456979,1
Ru,cr,WEP+82,101.07,6.81883365200765,1
Pt,cr,WEP+82,195.09,9.94980879541109,1
Ir,cr,WEP+82,192.2,8.47992351816444,1
Os,cr,WEP+82,190.2,7.79158699808795,1
Mn,cr,WEP+82,54.938,7.65057361376673,1
Tc,cr,WEP+82,98.906,NA,1
Re,cr,WEP+82,186.2,8.80975143403442,1
Cr,cr,WEP+82,51.996,5.68116634799235,1
Mo,cr,WEP+82,95.94,6.84990439770554,1
W,cr,WEP+82,183.85,7.80114722753346,1
V,cr,WEP+82,50.942,6.90965583173996,1
Nb,cr,WEP+82,92.906,8.69980879541109,1
Ta,cr,WEP+82,180.948,9.92112810707457,1
Ti,cr,WEP+82,47.9,7.32074569789675,1
Zr,cr,WEP+82,91.22,9.31883365200765,1
Hf,cr,WEP+82,178.49,10.4110898661568,1
Sc,cr,WEP+82,44.956,8.27915869980879,1
Y,cr,WEP+82,88.905,10.6190248565966,1
Lu,cr,WEP+82,174.97,12.1797323135755,1
Yb,cr,WEP+82,173.04,14.3092734225621,1
Tm,cr,WEP+82,168.934,17.6888145315488,1
Er,cr,WEP+82,167.26,17.4904397705545,1
Ho,cr,WEP+82,164.93,17.9971319311663,1
Dy,cr,WEP+82,162.5,17.8704588910134,1
Tb,cr,WEP+82,158.924,17.5,1
Gd,cr,WEP+82,157.25,16.269120458891,1
Eu,cr,WEP+82,151.96,18.5898661567878,1
Sm,cr,WEP+82,150.35,16.6300191204589,1
Pm,cr,WEP+82,146.915,NA,1
Nd,cr,WEP+82,144.24,17.0889101338432,1
Pr,cr,WEP+82,140.907,17.4952198852772,1
Ce,cr,WEP+82,140.12,17.208413001912,1
La,cr,WEP+82,138.91,13.5994263862333,1
U,cr,WEP+82,238.029,12.0004780114723,1
Pa,cr,WEP+82,231.0359,12.4043977055449,1
Th,cr,WEP+82,232.0381,12.7605162523901,1
Ac,cr,WEP+82,227.028,13.5038240917782,1
Be,cr,WEP+82,9.0122,2.27055449330784,1
Mg,cr,WEP+82,24.312,7.81070745697897,1
Ca,cr,WEP+82,40.08,9.89961759082218,1
Sr,cr,WEP+82,87.62,12.5,1
Ba,cr,WEP+82,137.34,15.0095602294455,1
Ra,cr,WEP+82,226.025,16.9694072657744,1
Li,cr,WEP+82,6.941,6.95984703632887,1
Na,cr,WEP+82,22.9898,12.2394837476099,1
K,cr,WEP+82,39.102,15.3393881453155,1
Rb,cr,WEP+82,85.4678,18.3508604206501,1
Cs,cr,WEP+82,132.9054,20.3704588910134,1
Fr,cr,WEP+82,223,22.8011472275335,1
